id,rnpa,marca,nombreFantasia,denominacionventa,TipoProducto,Estado,activo,fecha_alta,fecha_baja,tipo_cambio,fecha_cambio
48063,14025421,SILVINA,NO REGISTRA,FÉCULA DE MANDIOCA - LIBRE DE GLUTEN,"HARINAS, SÉMOLAS Y ALMIDONES",VIGENTE,Sí,2025-07-26,2025-08-04,,
48081,14024637,GABY MACHEL,NO REGISTRA,MERMELADA DE MAMÓN Y MBURUCUYÁ. LIBRE DE GLUTEN. SIN T.A.C.C,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48083,14024639,GABY MACHEL,NO REGISTRA,MERMELADA DE ROSELLA. LIBRE DE GLUTEN. SIN T.A.C.C.,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48084,14024641,GABY MACHEL,NO REGISTRA,MERMELADA DE MANGO Y LIMA SUTIL - LIBRE DE GLUTEN,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48085,14024750,GABY MACHEL,NO REGISTRA,MERMELADA DE MANGO Y MBURUCUYÁ. LIBRE DE GLUTEN. SIN T.A.C.C.,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48086,14024753,GABY MACHEL,NO REGISTRA,MERMELADA DE ANANÁ. LIBRE DE GLUTEN. SIN T.A.C.C.,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48087,14024752,GABY MACHEL,PASIÓN DORADA,CONFITURA - LIBRE DE GLUTEN,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48088,14024751,GABY MACHEL,-,CONFITURA. LIBRE DE GLUTEN. SIN T.A.C.C.,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,,
48174,19-009834,HILERET LIGHT,SIN REGISTRO,"ALIMENTO DIETÉTICO A BASE DE AZÚCAR, ASPARTAMO Y ACESULFAME K LIBRE DE GLUTEN",EDULCORANTES DE MESA,VIGENTE,Sí,2025-07-26,2025-08-04,,
48184,19009749,TIBALDI SWEET,TIBALDI SWEET EN POLVO,"EDULCORANTE DE MESA, ALIMENTO DIETÉTICO. LIBRE DE GLUTEN",EDULCORANTES DE MESA,VIGENTE,Sí,2025-07-26,2025-08-04,,
49977,03003590-9,CANALE,NO REGISTRA,ARVEJAS SECAS REMOJADAS LIBRE DE GLUTEN,"CONSERVAS DE VEGETALES (FRUTAS, HORTALIZAS, VERDURAS Y LEGUMBRES)",VIGENTE,Sí,2025-07-26,2025-08-04,,
50732,14024636,GABY MACHEL,CHOU-CHOU DE TOMATES. LIBRE DE GLUTEN. SIN T.A.C.C.,RELISH DE TOMATES VERDES. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
50733,14024631,GABY MACHEL,CHUTNEY DE ANANÁ. LIBRE DE GLUTEN. SIN T.A.C.C,CHUTNEY. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
50734,14024630,GABY MACHEL,CHUTNEY DE ARÁNDANOS. LIBRE DE GLUTEN. SIN T.A.C.C.,CHUTNEY. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
50735,14024620,GABY MACHEL,CHUTNEY DE MANGO CON ESPECIAS. LIBRE DE GLUTEN. SIN T.A.C.C.,CHUTNEY. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
50736,14024623,GABY MACHEL,CHUTNEY DE MANGO Y DÁTILES. LIBRE DE GLUTEN. SIN T.A.C.C.,CHUTNEY. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
