id,rnpa,marca,nombreFantasia,denominacionventa,TipoProducto,Estado,activo,fecha_alta,fecha_baja,_key,tipo_cambio,fecha_cambio
90937,053-00-027724,BELDENT INFINIT,FRUTOS ROJOS,"CHICLE CONFITADO DIETETICO CON RELLENO LIQUIDO SABOR A ARÁNDANO, FRAMBUESA Y MENTOL, REDUCIDO EN CALORÍAS - LIBRE DE GLUTEN","CARAMELOS, CHICLES Y PASTILLAS",VIGENTE,Sí,2025-07-28,,90937,alta_nuevo,2025-07-28
90938,027-00-027739,NESCAFE,ICE,CAFE INSTANTANEO - LIBRE DE GLUTEN,CAFÉ Y SUCEDÁNEOS,VIGENTE,Sí,2025-07-28,,90938,alta_nuevo,2025-07-28
90939,030-00-027743,NATURAL HEAVEN,ENSALADILLA SOUTHWEST,"COMIDA PREPARADA A BASE DE PALMITOS, LEGUMBRES, VEGETALES Y ESPECIAS, EN CONSERVA - LIBRE DE GLUTEN",COMIDAS PREPARADAS Y SEMIELABORADAS,VIGENTE,Sí,2025-07-28,,90939,alta_nuevo,2025-07-28
90940,030-00-027761,NATURAL HEAVEN,ENSALADILLA MEDITERRANEA,"COMIDA PREPARADA A BASE DE PALMITOS, LEGUMBRES, VEGETALES Y ESPECIAS, EN CONSERVA - LIBRE DE GLUTEN",COMIDAS PREPARADAS Y SEMIELABORADAS,VIGENTE,Sí,2025-07-28,,90940,alta_nuevo,2025-07-28
90941,030-00-027762,NATURAL HEAVEN,ENSALADILLA ORIENTAL,"COMIDA PREPARADA A BASE DE PALMITOS, VEGETALES Y ESPECIAS, EN CONSERVA - LIBRE DE GLUTEN",COMIDAS PREPARADAS Y SEMIELABORADAS,VIGENTE,Sí,2025-07-28,,90941,alta_nuevo,2025-07-28
66893,02-700836,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL CARNE (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66893,baja,2025-08-04
66894,02-700837,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL LIMÓN (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66894,baja,2025-08-04
66895,02-700838,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL POLLO (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66895,baja,2025-08-04
66896,02-700839,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL AROMA ESPECIADO (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66896,baja,2025-08-04
66897,02-700840,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL VAINILLA (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66897,baja,2025-08-04
66898,02-700841,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL VAINILLA (POLVO). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66898,baja,2025-08-04
66899,02-700842,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL CARNE (POLVO). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66899,baja,2025-08-04
